,submission_date,outcome code,outcome year,semester,course,section,outcome score,outcome rating,college,compliance
34204,2022-05-01,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
34352,2022-03-03,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
34451,nan,S3,U1516,SP2022,BIOL1060,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
34486,2022-04-20,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
34489,2022-03-16,S3,U1516,SP2022,KINE1000L,02,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
34571,2022-03-08,S3,U1516,SP2022,KINE1000L,02,1.0,Minimum,College of Natural and Applied Sciences,Outcome assessed
34579,2022-03-09,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
34586,2022-03-01,S3,U1516,SP2022,BIOL1060,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
34626,2022-03-01,S3,U1516,SP2022,BIOL1060,1U,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
34636,2022-04-24,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
34638,nan,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
34934,2022-03-03,S3,U1516,SP2022,BIOL1060,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
35056,2022-04-24,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
38639,2022-03-11,S3,U1516,SP2022,KINE1000L,06,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
38860,2022-04-26,S3,U1516,SP2022,KINE1000L,02,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
40478,2022-03-09,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
40561,2022-04-23,S3,U1516,SP2022,KINE1005,1U,1.0,Minimum,College of Natural and Applied Sciences,Outcome assessed
40564,2022-03-06,S3,U1516,SP2022,KINE1000L,02,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40578,2022-03-09,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
40599,2022-03-11,S3,U1516,SP2022,KINE1000L,06,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40600,2022-03-08,S3,U1516,SP2022,KINE1000L,02,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
40602,2022-03-08,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
40603,2022-03-08,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
40607,2022-03-09,S3,U1516,SP2022,KINE1000L,02,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40608,2022-03-10,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
40611,2022-03-02,S3,U1516,SP2022,BIOL1060,1U,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
40617,2022-03-11,S3,U1516,SP2022,KINE1000L,06,0.0,Fail,College of Natural and Applied Sciences,Outcome assessed
40622,2022-03-08,S3,U1516,SP2022,KINE1000L,02,1.0,Minimum,College of Natural and Applied Sciences,Outcome assessed
40625,2022-03-08,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
40634,2022-03-10,S3,U1516,SP2022,KINE1000L,05,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40647,2022-04-23,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40650,2022-04-20,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40657,2022-03-07,S3,U1516,SP2022,KINE1000L,05,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
40660,2022-03-11,S3,U1516,SP2022,KINE1000L,06,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40664,2022-03-08,S3,U1516,SP2022,KINE1000L,02,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40666,2022-04-23,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40668,2022-04-24,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40669,2022-03-08,S3,U1516,SP2022,KINE1000L,02,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40671,2022-03-08,S3,U1516,SP2022,KINE1000L,02,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
40692,2022-03-10,S3,U1516,SP2022,KINE1000L,05,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40693,2022-03-09,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
40698,2022-04-24,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40700,2022-03-09,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
40702,2022-03-08,S3,U1516,SP2022,KINE1000L,01,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
40705,2022-03-09,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
40706,2022-03-09,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
40710,2022-04-24,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40711,2022-03-09,S3,U1516,SP2022,KINE1000L,02,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
40746,2022-03-15,S3,U1516,SP2022,KINE1000L,06,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40756,2022-03-08,S3,U1516,SP2022,KINE1000L,02,0.0,Fail,College of Natural and Applied Sciences,Outcome assessed
40757,2022-03-08,S3,U1516,SP2022,KINE1000L,02,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
40787,2022-03-08,S3,U1516,SP2022,KINE1000L,02,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
40789,2022-03-09,S3,U1516,SP2022,KINE1000L,06,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40828,2022-02-22,S3,U1516,SP2022,KINE1000L,02,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40833,2022-05-02,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40849,2022-04-08,S3,U1516,SP2022,KINE1000L,05,1.0,Minimum,College of Natural and Applied Sciences,Outcome assessed
40877,2022-03-09,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
40879,2022-03-09,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
40892,2022-03-09,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
40893,2022-03-07,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
40905,2022-03-08,S3,U1516,SP2022,KINE1000L,02,0.0,Fail,College of Natural and Applied Sciences,Outcome assessed
40912,2022-03-14,S3,U1516,SP2022,KINE1000L,05,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
40916,2022-03-10,S3,U1516,SP2022,KINE1000L,05,0.0,Fail,College of Natural and Applied Sciences,Outcome assessed
40923,2022-03-10,S3,U1516,SP2022,KINE1000L,05,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
40953,2022-03-09,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
41061,2022-04-25,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
41125,2022-03-03,S3,U1516,SP2022,KINE1000L,02,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
41152,2022-03-08,S3,U1516,SP2022,KINE1000L,02,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
41208,2022-03-10,S3,U1516,SP2022,KINE1000L,05,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
41292,2022-03-09,S3,U1516,SP2022,KINE1000L,05,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
42226,2022-03-07,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
45274,2022-04-24,S3,U1516,SP2022,KINE1005,1U,2.0,Target,College of Natural and Applied Sciences,Outcome assessed
45539,2022-03-05,S3,U1516,SP2022,KINE1000L,03,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
45658,2022-02-25,S3,U1516,SP2022,KINE1000L,06,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
45761,2022-04-24,S3,U1516,SP2022,KINE1005,1U,-2.0,No Data Collected,College of Natural and Applied Sciences,"Outcome attached, no assessment"
45924,2022-03-12,S3,U1516,SP2022,KINE1000L,06,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
45980,2022-03-11,S3,U1516,SP2022,KINE1000L,06,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
46468,2022-04-20,S3,U1516,SP2022,KINE1005,1U,3.0,Exemplary,College of Natural and Applied Sciences,Outcome assessed
12204,nan,IP1,U1516,SP2022,COMM1210,01,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
14348,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
16164,2022-05-06,IP1,U1516,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
17593,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
18165,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
18531,nan,IP1,U1516,SP2022,COMM1210,02,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
19671,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
19671,2022-05-07,IP1,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
21033,nan,IP1,U1516,SP2022,COMM1210,01,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
21257,2022-05-06,IP1,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
21272,2022-05-04,IP1,U1516,SP2022,ENGL2410W,1U,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
21434,nan,IP1,U1516,SP2022,COMM1210,01,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
21464,2022-05-06,IP1,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
21487,2022-05-04,IP1,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
21608,2022-05-05,IP1,U1516,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
21799,2022-05-07,IP1,U1516,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
21869,2022-05-07,IP1,U1516,SP2022,ENGL2410W,1U,1.0,Minimum,College of Arts and Humanites,Outcome assessed
22177,nan,IP1,U1516,SP2022,COMM1210,02,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
25143,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
26172,2022-05-07,IP1,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
27295,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
27319,nan,IP1,U1516,SP2022,COMM1210,02,2.0,Target,College of Arts and Humanites,Outcome assessed
27398,nan,IP1,U1516,SP2022,COMM1210,01,2.0,Target,College of Arts and Humanites,Outcome assessed
27526,2022-05-06,IP1,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
27542,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
27561,nan,IP1,U1516,SP2022,COMM1210,01,2.0,Target,College of Arts and Humanites,Outcome assessed
27589,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
27695,2022-05-07,IP1,U1516,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
29218,nan,IP1,U1516,SP2022,COMM1210,02,2.0,Target,College of Arts and Humanites,Outcome assessed
29717,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
32434,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
32492,nan,IP1,U1516,SP2022,COMM1210,02,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
34186,2022-05-06,IP1,U1516,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
34386,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
34439,2022-05-05,IP1,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
34475,nan,IP1,U1516,SP2022,COMM1210,02,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
34488,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
34573,nan,IP1,U1516,SP2022,COMM1210,01,2.0,Target,College of Arts and Humanites,Outcome assessed
34585,nan,IP1,U1516,SP2022,COMM1210,02,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
34665,nan,IP1,U1516,SP2022,COMM1210,01,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
34678,nan,IP1,U1516,SP2022,COMM1210,01,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
34996,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
35008,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
35047,2022-05-06,IP1,U1516,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
37196,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
38601,2022-05-05,IP1,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
38639,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
38926,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
39006,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40463,nan,IP1,U1516,SP2022,COMM1210,02,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40467,nan,IP1,U1516,SP2022,COMM1210,02,2.0,Target,College of Arts and Humanites,Outcome assessed
40561,nan,IP1,U1516,SP2022,COMM1210,04,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
40566,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40568,nan,IP1,U1516,SP2022,COMM1210,02,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
40578,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40580,nan,IP1,U1516,SP2022,COMM1210,02,2.0,Target,College of Arts and Humanites,Outcome assessed
40599,nan,IP1,U1516,SP2022,COMM1210,01,2.0,Target,College of Arts and Humanites,Outcome assessed
40600,nan,IP1,U1516,SP2022,COMM1210,01,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
40610,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40611,nan,IP1,U1516,SP2022,COMM1210,02,2.0,Target,College of Arts and Humanites,Outcome assessed
40629,nan,IP1,U1516,SP2022,COMM1210,02,1.0,Minimum,College of Arts and Humanites,Outcome assessed
40634,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40658,nan,IP1,U1516,SP2022,COMM1210,03,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
40662,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40672,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40674,nan,IP1,U1516,SP2022,COMM1210,01,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
40679,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40683,nan,IP1,U1516,SP2022,COMM1210,01,2.0,Target,College of Arts and Humanites,Outcome assessed
40686,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40699,nan,IP1,U1516,SP2022,COMM1210,01,2.0,Target,College of Arts and Humanites,Outcome assessed
40700,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40701,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40705,nan,IP1,U1516,SP2022,COMM1210,02,2.0,Target,College of Arts and Humanites,Outcome assessed
40712,nan,IP1,U1516,SP2022,COMM1210,01,2.0,Target,College of Arts and Humanites,Outcome assessed
40730,nan,IP1,U1516,SP2022,COMM1210,02,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
40744,nan,IP1,U1516,SP2022,COMM1210,02,2.0,Target,College of Arts and Humanites,Outcome assessed
40746,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40747,nan,IP1,U1516,SP2022,COMM1210,02,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
40797,nan,IP1,U1516,SP2022,COMM1210,02,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40799,nan,IP1,U1516,SP2022,COMM1210,04,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
40827,nan,IP1,U1516,SP2022,COMM1210,02,2.0,Target,College of Arts and Humanites,Outcome assessed
40849,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40854,nan,IP1,U1516,SP2022,COMM1210,02,2.0,Target,College of Arts and Humanites,Outcome assessed
40856,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40892,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40915,nan,IP1,U1516,SP2022,COMM1210,01,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
40916,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
40926,nan,IP1,U1516,SP2022,COMM1210,01,2.0,Target,College of Arts and Humanites,Outcome assessed
40933,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
41055,nan,IP1,U1516,SP2022,COMM1210,01,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
41101,2022-05-06,IP1,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
41104,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
41124,nan,IP1,U1516,SP2022,COMM1210,04,2.0,Target,College of Arts and Humanites,Outcome assessed
41160,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
41202,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
41204,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
41278,nan,IP1,U1516,SP2022,COMM1210,04,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
41292,nan,IP1,U1516,SP2022,COMM1210,01,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
41304,nan,IP1,U1516,SP2022,COMM1210,02,2.0,Target,College of Arts and Humanites,Outcome assessed
45724,nan,IP1,U1516,SP2022,COMM1210,01,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
45770,nan,IP1,U1516,SP2022,COMM1210,01,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
45995,nan,IP1,U1516,SP2022,COMM1210,03,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
16164,2022-05-06,IP2,U1516,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
19671,2022-05-07,IP2,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
21257,2022-05-06,IP2,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
21272,2022-05-04,IP2,U1516,SP2022,ENGL2410W,1U,-2.0,No Data Collected,College of Arts and Humanites,"Outcome attached, no assessment"
21464,2022-05-06,IP2,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
21487,2022-05-04,IP2,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
21608,2022-05-05,IP2,U1516,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
21799,2022-05-07,IP2,U1516,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
21869,2022-05-07,IP2,U1516,SP2022,ENGL2410W,1U,1.0,Minimum,College of Arts and Humanites,Outcome assessed
26172,2022-05-07,IP2,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
27526,2022-05-06,IP2,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
27695,2022-05-07,IP2,U1516,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
34186,2022-05-06,IP2,U1516,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
34439,2022-05-05,IP2,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
35047,2022-05-06,IP2,U1516,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
38601,2022-05-05,IP2,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
41101,2022-05-06,IP2,U1516,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
20821,2022-03-14,CF2,U1617,SP2022,HNRS3560,01,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
22440,2022-03-14,CF2,U1617,SP2022,HNRS3560,01,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
23259,2022-03-15,CF2,U1617,SP2022,HNRS3560,01,2.0,Target,College of Arts and Humanites,Outcome assessed
27733,2022-03-14,CF2,U1617,SP2022,HNRS3560,01,2.0,Target,College of Arts and Humanites,Outcome assessed
30892,2022-03-14,CF2,U1617,SP2022,HNRS3560,01,2.0,Target,College of Arts and Humanites,Outcome assessed
34453,2022-03-14,CF2,U1617,SP2022,HNRS3560,01,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
34463,2022-03-15,CF2,U1617,SP2022,HNRS3560,01,2.0,Target,College of Arts and Humanites,Outcome assessed
34465,2022-03-14,CF2,U1617,SP2022,HNRS3560,01,2.0,Target,College of Arts and Humanites,Outcome assessed
34467,2022-03-14,CF2,U1617,SP2022,HNRS3560,01,2.0,Target,College of Arts and Humanites,Outcome assessed
34573,2022-03-14,CF2,U1617,SP2022,HNRS3560,01,2.0,Target,College of Arts and Humanites,Outcome assessed
34672,2022-03-14,CF2,U1617,SP2022,HNRS3560,01,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
34700,2022-03-14,CF2,U1617,SP2022,HNRS3560,01,2.0,Target,College of Arts and Humanites,Outcome assessed
6621,2022-05-09,H1,U1617,SP2022,ENGL3510,1U,1.0,Minimum,College of Arts and Humanites,Outcome assessed
17895,2022-05-09,H1,U1617,SP2022,ENGL3510,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
21276,2022-05-03,H1,U1617,SP2022,ENGL3510,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
21305,2022-05-09,H1,U1617,SP2022,ENGL3510,1U,1.0,Minimum,College of Arts and Humanites,Outcome assessed
21550,2022-05-09,H1,U1617,SP2022,ENGL3510,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
22908,2022-05-01,H1,U1617,SP2022,ENGL3510,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
27637,2022-05-07,H1,U1617,SP2022,ENGL3510,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
27644,2022-05-09,H1,U1617,SP2022,ENGL3510,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
27694,2022-05-10,H1,U1617,SP2022,ENGL3510,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
27991,2022-05-05,H1,U1617,SP2022,ENGL3510,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
36561,2022-05-07,H1,U1617,SP2022,ENGL3510,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
16789,2022-04-18,H3,U1617,SP2022,EDUC3310,1L,2.0,Target,College of Educaton,Outcome assessed
19111,2022-04-29,H3,U1617,SP2022,EDUC3310,1L,2.0,Target,College of Educaton,Outcome assessed
27340,2022-05-01,H3,U1617,SP2022,EDUC3310,1L,2.0,Target,College of Educaton,Outcome assessed
27373,2022-04-29,H3,U1617,SP2022,EDUC3310,1L,2.0,Target,College of Educaton,Outcome assessed
27447,2022-04-23,H3,U1617,SP2022,EDUC3310,1L,2.0,Target,College of Educaton,Outcome assessed
27738,2022-04-29,H3,U1617,SP2022,EDUC3310,1L,2.0,Target,College of Educaton,Outcome assessed
6621,2022-05-09,IP1,U1617,SP2022,ENGL3510,1U,1.0,Minimum,College of Arts and Humanites,Outcome assessed
12853,2022-02-26,IP1,U1617,SP2022,ENGL3015C,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
