,submission_date,outcome code,outcome year,semester,course,section,outcome score,outcome rating,college,compliance
21459,2022-04-17,CF4,U1516,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
21459,2022-05-01,CF4,U1516,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
21510,2022-04-25,CF4,U1516,SP2022,PHIL3620,01,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
21518,2022-04-25,CF4,U1516,SP2022,THEO3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
21559,2022-04-26,CF4,U1516,SP2022,THEO3620,01,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
21603,2022-04-25,CF4,U1516,SP2022,PHIL3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
21995,2022-04-25,CF4,U1516,SP2022,PHIL3620,01,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
25889,2022-04-25,CF4,U1516,SP2022,THEO3620,01,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
26125,2022-04-17,CF4,U1516,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
26125,2022-05-01,CF4,U1516,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
27346,2022-04-25,CF4,U1516,SP2022,THEO3620,01,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
27401,2022-04-26,CF4,U1516,SP2022,PHIL3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
27539,2022-04-17,CF4,U1516,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
27539,2022-05-01,CF4,U1516,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
27598,2022-04-27,CF4,U1516,SP2022,PHIL3620,01,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
27625,2022-04-26,CF4,U1516,SP2022,THEO3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
