course_id,outcome rating,outcome score
SP2022_PSYC1550_01,Target,10
SP2022_PSYC4010_01,Minimum,1
SP2022_PSYC4010_01,Target,5
SP2022_THEO2100_03,Exemplary,13
SP2022_THEO2100_03,Minimum,6
SP2022_THEO2100_03,Target,16
SP2022_THEO3620_01,Exemplary,1
SP2022_THEO3620_01,Minimum,5
SP2022_THEO3620_01,No Data Collected,1
SP2022_THEO3620_01,Target,8
SP2022_THEO4900_01,Exemplary,8
SP2022_THEO4900_01,Target,4
